epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,483.458,1.83718,0.98454,0.91921,0.90044,0.86954,0.9206,0.42261,1.83395,0.87122,0.94255,0.003268,0.003268,0.003268
70,489.151,1.8512,1.00238,0.91698,0.89778,0.88424,0.91544,0.40843,1.87936,0.87263,0.94842,0.003169,0.003169,0.003169
71,494.813,1.86995,0.98379,0.92601,0.8807,0.86969,0.91986,0.4288,1.79531,0.86302,0.93326,0.00307,0.00307,0.00307
72,500.744,1.87635,0.98204,0.9145,0.87547,0.79891,0.88522,0.37504,1.89568,0.92629,0.94184,0.002971,0.002971,0.002971
73,506.564,1.9069,1.00349,0.91901,0.80595,0.86212,0.89324,0.39846,1.86609,0.92836,0.95084,0.002872,0.002872,0.002872
74,512.323,1.86831,1.01183,0.92255,0.83215,0.87463,0.92043,0.40533,1.8662,0.90468,0.93821,0.002773,0.002773,0.002773
75,518.018,1.80693,0.92963,0.93602,0.93523,0.82703,0.91387,0.40803,1.84833,0.88383,0.94424,0.002674,0.002674,0.002674
76,523.724,1.83783,0.94823,0.92079,0.91669,0.79578,0.89733,0.40652,1.80805,0.88886,0.93016,0.002575,0.002575,0.002575
77,530.258,1.80615,0.94253,0.92455,0.86709,0.79725,0.8908,0.40483,1.82108,0.90992,0.9349,0.002476,0.002476,0.002476
78,536.375,1.81019,0.96622,0.91657,0.91532,0.8043,0.8921,0.3901,1.88504,0.91171,0.94858,0.002377,0.002377,0.002377
79,542.215,1.74021,0.92832,0.89172,0.90475,0.81896,0.9177,0.41048,1.83955,0.88166,0.94502,0.002278,0.002278,0.002278
80,548.408,1.80178,0.9503,0.90256,0.9247,0.82387,0.92701,0.43705,1.7756,0.85655,0.93327,0.002179,0.002179,0.002179
81,554.191,1.77624,0.90829,0.90879,0.92232,0.83272,0.92135,0.42595,1.79448,0.85594,0.93251,0.00208,0.00208,0.00208
82,559.964,1.74675,0.90758,0.89536,0.96111,0.81993,0.91371,0.42046,1.82875,0.89275,0.93988,0.001981,0.001981,0.001981
83,565.72,1.81391,0.92376,0.91714,0.94086,0.8469,0.92567,0.43632,1.79873,0.85391,0.93886,0.001882,0.001882,0.001882
84,571.439,1.81142,0.9561,0.9163,0.88056,0.84497,0.90923,0.41679,1.81683,0.86309,0.93671,0.001783,0.001783,0.001783
85,577.189,1.73624,0.8674,0.91603,0.84185,0.87277,0.90753,0.41891,1.80561,0.86548,0.93467,0.001684,0.001684,0.001684
86,583.042,1.72766,0.86773,0.89597,0.8577,0.84833,0.89466,0.39242,1.91316,0.88568,0.9468,0.001585,0.001585,0.001585
87,588.916,1.79536,0.9123,0.91678,0.94319,0.83333,0.92839,0.41973,1.8451,0.83599,0.94076,0.001486,0.001486,0.001486
88,594.685,1.78251,0.90402,0.89942,0.96839,0.83608,0.93559,0.44587,1.7608,0.81245,0.92844,0.001387,0.001387,0.001387
89,600.45,1.69572,0.84473,0.90384,0.91217,0.85198,0.9286,0.42787,1.7812,0.8361,0.93119,0.001288,0.001288,0.001288
90,606.194,1.7016,0.87734,0.89544,0.87644,0.86213,0.92934,0.44199,1.76018,0.82425,0.92443,0.001189,0.001189,0.001189
91,638.263,1.67016,0.85932,0.93037,0.83004,0.88206,0.91519,0.43138,1.77521,0.83809,0.92979,0.00109,0.00109,0.00109
92,643.931,1.72988,0.84115,0.91038,0.90249,0.8328,0.90089,0.40888,1.83337,0.84561,0.93477,0.000991,0.000991,0.000991
93,650.16,1.68976,0.85523,0.93472,0.89127,0.83203,0.90528,0.40039,1.88832,0.84778,0.94061,0.000892,0.000892,0.000892
94,656.076,1.6555,0.83565,0.92421,0.90875,0.84668,0.91361,0.40877,1.83732,0.83554,0.9335,0.000793,0.000793,0.000793
95,661.875,1.64649,0.81441,0.92474,0.92,0.85506,0.92431,0.411,1.83087,0.83497,0.93314,0.000694,0.000694,0.000694
96,667.652,1.66149,0.81628,0.92608,0.96621,0.83929,0.9255,0.41457,1.82863,0.81816,0.93683,0.000595,0.000595,0.000595
97,673.305,1.62803,0.79331,0.90891,0.92843,0.87172,0.93621,0.43713,1.77983,0.79388,0.93098,0.000496,0.000496,0.000496
98,679.103,1.61041,0.77507,0.91073,0.91286,0.86391,0.9281,0.44144,1.75899,0.78622,0.92994,0.000397,0.000397,0.000397
99,684.889,1.57948,0.75924,0.91432,0.90826,0.85318,0.92948,0.43681,1.7719,0.79507,0.93065,0.000298,0.000298,0.000298
100,690.572,1.59958,0.77596,0.91198,0.90387,0.85196,0.91855,0.42029,1.79525,0.80525,0.93283,0.000199,0.000199,0.000199
